chr_physbin	Chr.x	Species.x	physbin	rate	physbinnum.x	gene_num	Chr.y	physbinnum.y	Species.y
III (0.4,0.41]	III	C. briggsae	(0.4,0.41]	1.78070134087706e-14	41	46	III	41	C. briggsae
III (0.41,0.42]	III	C. briggsae	(0.41,0.42]	1.78070134087705e-14	42	31	III	42	C. briggsae
III (0.42,0.43]	III	C. briggsae	(0.42,0.43]	1.780701340877e-14	43	51	III	43	C. briggsae
III (0.43,0.44]	III	C. briggsae	(0.43,0.44]	1.78070134087702e-14	44	34	III	44	C. briggsae
III (0.44,0.45]	III	C. briggsae	(0.44,0.45]	1.78070134087701e-14	45	58	III	45	C. briggsae
III (0.45,0.46]	III	C. briggsae	(0.45,0.46]	1.780701340877e-14	46	11	III	46	C. briggsae
III (0.46,0.47]	III	C. briggsae	(0.46,0.47]	0.359972526132676	47	55	III	47	C. briggsae
III (0.47,0.48]	III	C. briggsae	(0.47,0.48]	9.24298421569609e-15	48	17	III	48	C. briggsae
III (0.48,0.49]	III	C. briggsae	(0.48,0.49]	9.24298421569603e-15	49	54	III	49	C. briggsae
III (0.49,0.5]	III	C. briggsae	(0.49,0.5]	9.24298421569598e-15	50	35	III	50	C. briggsae
III (0.5,0.51]	III	C. briggsae	(0.5,0.51]	9.24298421569592e-15	51	25	III	51	C. briggsae
III (0.51,0.52]	III	C. briggsae	(0.51,0.52]	9.24298421569605e-15	52	47	III	52	C. briggsae
