Species	Chr	physbin	rate	value	category	physbin2
C. inopinata	I	(0.11,0.12]	1.20689691127428	0.0195866666666667	diversity	0.11
C. inopinata	I	(0.12,0.13]	0.232019684129144	0.0193	diversity	0.12
C. inopinata	I	(0.13,0.14]	1.5304353943998	0.0217714285714286	diversity	0.13
C. inopinata	I	(0.14,0.15]	0.41861914780019	0.0105222222222222	diversity	0.14
C. inopinata	I	(0.15,0.16]	2.40364408348055	0.0123461538461538	diversity	0.15
C. inopinata	I	(0.16,0.17]	-6.57565006529531E-15	0.00488125	diversity	0.16
C. inopinata	I	(0.17,0.18]	-6.57565006529528E-15	0.006885	diversity	0.17
C. inopinata	I	(0.18,0.19]	2.47169919359345	0.00503333333333333	diversity	0.18
C. inopinata	I	(0.19,0.2]	0.204945708207416	0.0099	diversity	0.19
C. inopinata	I	(0.2,0.21]	1.88909694278245E-14	0.0109444444444444	diversity	0.2
C. inopinata	I	(0.21,0.22]	-5.44512879077656E-15	0.0156133333333333	diversity	0.21
C. inopinata	I	(0.22,0.23]	0.524111147487379	0.00942727272727273	diversity	0.22
C. inopinata	I	(0.23,0.24]	1.66753866683131	0.0124428571428571	diversity	0.23
C. inopinata	I	(0.24,0.25]	2.23871452858899E-15	0.0068	diversity	0.24
C. inopinata	I	(0.25,0.26]	8.36085129552509E-17	0.00752727272727273	diversity	0.25
C. inopinata	I	(0.26,0.27]	2.507441848863E-14	0.01259375	diversity	0.26
C. inopinata	I	(0.27,0.28]	0.55309174971616	0.01148	diversity	0.27
C. inopinata	I	(0.28,0.29]	0.488422487415994	0.0165888888888889	diversity	0.28
C. inopinata	I	(0.29,0.3]	7.32557496868862E-15	0.0132142857142857	diversity	0.29
C. inopinata	I	(0.3,0.31]	6.64262069682979E-15	0.01184	diversity	0.3
C. inopinata	I	(0.31,0.32]	9.49980945080572E-15	0.00979285714285714	diversity	0.31
C. inopinata	I	(0.32,0.33]	0.635344179780808	0.0108333333333333	diversity	0.32
C. inopinata	I	(0.33,0.34]	0.297951013009311	0.0159181818181818	diversity	0.33
C. inopinata	I	(0.34,0.35]	8.96618166354327E-15	0.0107133333333333	diversity	0.34
C. inopinata	I	(0.35,0.36]	-1.9451993718452E-14	0.0118909090909091	diversity	0.35
C. inopinata	I	(0.36,0.37]	0.346595956613028	0.0130428571428571	diversity	0.36
C. inopinata	I	(0.37,0.38]	-6.47977603116119E-15	0.0104666666666667	diversity	0.37
C. inopinata	I	(0.38,0.39]	2.72971122706979E-15	0.0136636363636364	diversity	0.38
C. inopinata	I	(0.39,0.4]	-1.32377296062751E-14	0.0122076923076923	diversity	0.39
C. inopinata	I	(0.4,0.41]	-8.41584040299582E-15	0.0104777777777778	diversity	0.4
C. inopinata	I	(0.41,0.42]	1.04284490199203	0.0116352941176471	diversity	0.41
C. inopinata	I	(0.42,0.43]	7.81793938863005E-15	0.00982666666666667	diversity	0.42
C. inopinata	I	(0.43,0.44]	0.271069300885616	0.00976428571428571	diversity	0.43
C. inopinata	I	(0.44,0.45]	0.288209942209792	0.0107705882352941	diversity	0.44
C. inopinata	I	(0.45,0.46]	1.38624726375419	0.00803333333333333	diversity	0.45
C. inopinata	I	(0.46,0.47]	-9.70322876396882E-15	0.0110142857142857	diversity	0.46
C. inopinata	I	(0.47,0.48]	1.62662879815946E-14	0.00934545454545455	diversity	0.47
C. inopinata	I	(0.48,0.49]	3.94802997622379E-15	0.00810714285714286	diversity	0.48
C. inopinata	I	(0.49,0.5]	-1.03593240635083E-14	0.016625	diversity	0.49
C. inopinata	I	(0.5,0.51]	-1.76596822049915E-15	0.0111	diversity	0.5
C. inopinata	I	(0.51,0.52]	3.31197519834911	0.0114210526315789	diversity	0.51
C. inopinata	I	(0.52,0.53]	4.59415580493437E-15	0.00752857142857143	diversity	0.52
C. inopinata	I	(0.53,0.54]	-1.08674023641029E-14	0.0115714285714286	diversity	0.53
C. inopinata	I	(0.54,0.55]	-1.0867402364103E-14	0.0176	diversity	0.54
C. inopinata	I	(0.55,0.56]	-5.83004551653379E-15	0.0159	diversity	0.55
C. inopinata	I	(0.56,0.57]	-3.48820448810327E-15	0.0069625	diversity	0.56
C. inopinata	I	(0.57,0.58]	2.31747853594558E-14	0.00955384615384615	diversity	0.57
C. inopinata	I	(0.58,0.59]	4.35605779226991E-14	0.00703333333333333	diversity	0.58
C. inopinata	I	(0.59,0.6]	12.235665927101	0.0098	diversity	0.59
C. inopinata	I	(0.6,0.61]	0.30696833303356	0.01165625	diversity	0.6
C. inopinata	I	(0.61,0.62]	-5.47280895251562E-15	0.0117444444444444	diversity	0.61
C. inopinata	I	(0.62,0.63]	2.64588648875826	0.0180888888888889	diversity	0.62
C. inopinata	I	(0.63,0.64]	2.84626499480667	0.020975	diversity	0.63
C. inopinata	I	(0.64,0.65]	0.253614002880347	0.0106941176470588	diversity	0.64
C. inopinata	I	(0.65,0.66]	2.17104488739754	0.01168	diversity	0.65
C. inopinata	I	(0.66,0.67]	0.370916035989407	0.00878333333333333	diversity	0.66
C. inopinata	I	(0.67,0.68]	0.494436440897993	0.0113923076923077	diversity	0.67
C. inopinata	I	(0.68,0.69]	6.05147811645831E-14	0.01575	diversity	0.68
C. inopinata	I	(0.69,0.7]	0.40724202342154	0.0086375	diversity	0.69
C. inopinata	I	(0.7,0.71]	0.717132699166785	0.0085	diversity	0.7
C. inopinata	I	(0.71,0.72]	0.803798282712199	0.00882222222222222	diversity	0.71
C. inopinata	I	(0.72,0.73]	1.15419740470355	0.0114	diversity	0.72
C. inopinata	I	(0.73,0.74]	0.370721129896911	0.0172428571428571	diversity	0.73
C. inopinata	I	(0.74,0.75]	3.29879630918358	0.0173909090909091	diversity	0.74
C. inopinata	I	(0.75,0.76]	6.55635065211186	0.0100875	diversity	0.75
C. inopinata	I	(0.76,0.77]	-9.79795716973749E-15	0.009675	diversity	0.76
C. inopinata	I	(0.77,0.78]	0.907420610302648	0.0109272727272727	diversity	0.77
C. inopinata	I	(0.78,0.79]	0.797833610138066	0.0093	diversity	0.78
C. inopinata	I	(0.79,0.8]	1.13225828469911	0.014125	diversity	0.79
C. inopinata	I	(0.8,0.81]	0.7624656240096	0.0151	diversity	0.8
C. inopinata	I	(0.81,0.82]	-4.50446135762912E-14	0.01313	diversity	0.81
C. inopinata	I	(0.82,0.83]	1.53519887955382	0.0210285714285714	diversity	0.82
C. inopinata	I	(0.83,0.84]	9.7835244833306E-15	0.0127266666666667	diversity	0.83
C. inopinata	I	(0.84,0.85]	0.338903352386473	0.00909333333333333	diversity	0.84
C. inopinata	I	(0.85,0.86]	-1.35060717978298E-14	0.0104416666666667	diversity	0.85
C. inopinata	I	(0.86,0.87]	1.09285550528402	0.0125545454545455	diversity	0.86
C. inopinata	I	(0.87,0.88]	2.58603418412298	0.0133142857142857	diversity	0.87
C. inopinata	I	(0.88,0.89]	0.258868165480051	0.0104071428571429	diversity	0.88
C. inopinata	I	(0.89,0.9]	0.753711657585818	0.01242	diversity	0.89
C. inopinata	I	(0.9,0.91]	1.31914812000144	0.01124	diversity	0.9
C. inopinata	I	(0.91,0.92]	1.46427568489187	0.0109	diversity	0.91
