sp	chrom	w	n	norm	theta
tropicalis	I	3240000	550	0.266009852216749	0.00736418137640152
tropicalis	I	3260000	344	0.267651888341544	0.00460596071542204
tropicalis	I	3280000	210	0.269293924466338	0.00281177834371694
tropicalis	I	3300000	838	0.270935960591133	0.011220334533499
tropicalis	I	3320000	448	0.272577996715928	0.00599846046659615
tropicalis	I	3340000	102	0.274220032840723	0.00136572090980537
tropicalis	I	3360000	131	0.275862068965517	0.0017746766243495
tropicalis	I	3380000	61	0.277504105090312	0.00081675466174635
tropicalis	I	3400000	87	0.279146141215107	0.00117860203296494
tropicalis	I	3420000	95	0.280788177339901	0.00128697923139849
tropicalis	I	3440000	51	0.282430213464696	0.000682860454902686
tropicalis	I	3460000	123	0.284072249589491	0.00166629942591594
tropicalis	I	3480000	185	0.285714285714286	0.00250622271377601
tropicalis	I	3500000	48	0.28735632183908	0.000642692192849587
tropicalis	I	3520000	48	0.288998357963875	0.000642692192849587
tropicalis	I	3540000	64	0.29064039408867	0.00085692292379945
tropicalis	I	3560000	255	0.292282430213465	0.00345452320006964
tropicalis	I	3580000	830	0.293924466338259	0.0112441343374816
tropicalis	I	3600000	869	0.295566502463054	0.0116354065747144
tropicalis	I	3620000	161	0.297208538587849	0.00215569673018299
tropicalis	I	3640000	70	0.298850574712644	0.000948300486293626
tropicalis	I	3660000	108	0.300492610837438	0.00146309217885302
tropicalis	I	3680000	792	0.302134646962233	0.0106044211820182
tropicalis	I	3700000	659	0.303776683087028	0.00882362823099746
tropicalis	I	3720000	628	0.305418719211823	0.0084085561897821
tropicalis	I	3740000	768	0.307060755336617	0.0102830750855934
tropicalis	I	3760000	81	0.308702791461412	0.00108454307543368
tropicalis	I	3780000	43	0.310344827586207	0.000575745089427755
tropicalis	I	3800000	42	0.311986863711002	0.000562355668743389
tropicalis	I	3820000	51	0.313628899835796	0.000682860454902686
tropicalis	I	3840000	115	0.315270935960591	0.00157734820238335
tropicalis	I	3860000	107	0.316912972085386	0.0014326680132272
tropicalis	I	3880000	98	0.318555008210181	0.00132762068081108
tropicalis	I	3900000	583	0.320197044334975	0.00780603225898561
tropicalis	I	3920000	580	0.32183908045977	0.00776586399693251
tropicalis	I	3940000	820	0.323481116584565	0.0111086628394396
tropicalis	I	3960000	435	0.32512315270936	0.00582439799769938
tropicalis	I	3980000	48	0.326765188834154	0.000642692192849587
tropicalis	I	4e+06	31	0.328407224958949	0.000415072041215358
tropicalis	I	4020000	37	0.330049261083744	0.000495408565321557
tropicalis	I	4040000	144	0.331691297208539	0.00195078957180403
tropicalis	I	4060000	48	0.333333333333333	0.000642692192849587
tropicalis	I	4080000	100	0.334975369458128	0.00133894206843664
tropicalis	I	4100000	87	0.336617405582923	0.00116487959953988
tropicalis	I	4120000	41	0.338259441707718	0.000548966248059023
tropicalis	I	4140000	311	0.339901477832512	0.00416410983283795
tropicalis	I	4160000	59	0.341543513957307	0.000789975820377618
tropicalis	I	4180000	100	0.343185550082102	0.00137160713250726
tropicalis	I	4200000	18	0.344827586206897	0.000250157066871962
tropicalis	I	4220000	41	0.346469622331691	0.000548966248059023
tropicalis	I	4240000	81	0.348111658456486	0.00108454307543368
tropicalis	I	4260000	21	0.349753694581281	0.000281177834371694
tropicalis	I	4280000	44	0.351395730706076	0.000589134510112122
tropicalis	I	4300000	32	0.35303776683087	0.000428461461899725
tropicalis	I	4320000	47	0.354679802955665	0.000629302772165221
tropicalis	I	4340000	34	0.35632183908046	0.000460603093342618
tropicalis	I	4360000	51	0.357963875205255	0.000682860454902686
tropicalis	I	4380000	42	0.359605911330049	0.000562355668743389
tropicalis	I	4400000	27	0.361247947454844	0.000361514358477893
tropicalis	I	4420000	42	0.362889983579639	0.000562355668743389
tropicalis	I	4440000	37	0.364532019704434	0.000495408565321557
tropicalis	I	4460000	35	0.366174055829228	0.000468629723952824
tropicalis	I	4480000	29	0.367816091954023	0.000388293199846626
tropicalis	I	4500000	27	0.369458128078818	0.000361514358477893
tropicalis	I	4520000	58	0.371100164203612	0.000776586399693251
tropicalis	I	4540000	31	0.372742200328407	0.000415072041215358
tropicalis	I	4560000	33	0.374384236453202	0.000441850882584091
tropicalis	I	4580000	33	0.376026272577997	0.000441850882584091
tropicalis	I	4600000	20	0.377668308702791	0.000267788413687328
tropicalis	I	4620000	33	0.379310344827586	0.000441850882584091
tropicalis	I	4640000	24	0.380952380952381	0.000321346096424794
tropicalis	I	4660000	28	0.382594417077176	0.000374903779162259
tropicalis	I	4680000	37	0.38423645320197	0.000495408565321557
tropicalis	I	4700000	25	0.385878489326765	0.00033473551710916
tropicalis	I	4720000	35	0.38752052545156	0.000468629723952824
tropicalis	I	4740000	32	0.389162561576355	0.000428461461899725
tropicalis	I	4760000	24	0.390804597701149	0.000321346096424794
tropicalis	I	4780000	29	0.392446633825944	0.000388293199846626
tropicalis	I	4800000	28	0.394088669950739	0.00037932019451745
tropicalis	I	4820000	30	0.395730706075534	0.000401682620530992
tropicalis	I	4840000	37	0.397372742200328	0.000495408565321557
tropicalis	I	4860000	25	0.399014778325123	0.00033473551710916
tropicalis	I	4880000	39	0.400656814449918	0.00052218740669029
tropicalis	I	4900000	42	0.402298850574713	0.000562355668743389
tropicalis	I	4920000	29	0.403940886699507	0.000388293199846626
tropicalis	I	4940000	26	0.405582922824302	0.000348124937793526
